combo,score
01-04-20-30-34,0.80503572
01-04-20-30-37,0.80503572
01-04-20-34-37,0.80503572
01-04-30-34-37,0.80503572
01-06-20-30-34,0.80503572
01-06-20-30-37,0.80503572
01-06-20-34-37,0.80503572
01-06-30-34-37,0.80503572
01-20-30-34-37,0.80503572
04-06-20-30-34,0.80503572
04-06-20-30-37,0.80503572
04-06-20-34-37,0.80503572
04-06-30-34-37,0.80503572
04-20-30-34-37,0.80503572
06-20-30-34-37,0.80503572
02-07-21-23-30,0.80197577
04-05-12-13-24,0.79859543
04-05-12-13-26,0.79859543
04-05-12-13-33,0.79859543
04-05-12-24-26,0.79859543
04-05-12-24-33,0.79859543
04-05-12-26-33,0.79859543
04-05-13-24-26,0.79859543
04-05-13-24-33,0.79859543
04-05-13-26-33,0.79859543
04-05-24-26-33,0.79859543
04-12-13-24-26,0.79859543
04-12-13-24-33,0.79859543
04-12-13-26-33,0.79859543
04-12-24-26-33,0.79859543
04-13-24-26-33,0.79859543
05-12-13-24-26,0.79859543
05-12-13-24-33,0.79859543
05-12-13-26-33,0.79859543
05-12-24-26-33,0.79859543
05-13-24-26-33,0.79859543
12-13-24-26-33,0.79859543
03-12-25-29-30,0.79220667
03-12-25-29-32,0.79220667
03-12-25-29-33,0.79220667
03-12-25-30-32,0.79220667
03-12-25-30-33,0.79220667
03-12-25-32-33,0.79220667
03-12-29-30-32,0.79220667
03-12-29-30-33,0.79220667
03-12-29-32-33,0.79220667
03-12-30-32-33,0.79220667
03-25-29-30-32,0.79220667
03-25-29-30-33,0.79220667
03-25-29-32-33,0.79220667
03-25-30-32-33,0.79220667
03-29-30-32-33,0.79220667
12-25-29-30-32,0.79220667
12-25-29-30-33,0.79220667
12-25-29-32-33,0.79220667
12-25-30-32-33,0.79220667
12-29-30-32-33,0.79220667
25-29-30-32-33,0.79220667
06-07-12-25-26,0.78586901
06-07-12-25-30,0.78586901
06-07-12-25-33,0.78586901
06-07-12-26-30,0.78586901
06-07-12-26-33,0.78586901
06-07-12-30-33,0.78586901
06-07-25-26-30,0.78586901
06-07-25-26-33,0.78586901
06-07-26-30-33,0.78586901
06-12-25-26-30,0.78586901
06-12-25-26-33,0.78586901
06-12-25-30-33,0.78586901
06-12-26-30-33,0.78586901
06-25-26-30-33,0.78586901
07-12-25-26-30,0.78586901
07-12-25-26-33,0.78586901
07-12-25-30-33,0.78586901
07-12-26-30-33,0.78586901
07-25-26-30-33,0.78586901
12-25-26-30-33,0.78586901
01-16-21-26-27,0.77958206
01-16-21-26-30,0.77958206
01-16-21-26-35,0.77958206
01-16-21-27-30,0.77958206
01-16-21-27-35,0.77958206
01-16-21-30-35,0.77958206
01-16-26-27-30,0.77958206
01-16-26-27-35,0.77958206
01-16-26-30-35,0.77958206
01-16-27-30-35,0.77958206
01-21-26-27-30,0.77958206
01-21-26-27-35,0.77958206
01-21-26-30-35,0.77958206
01-21-27-30-35,0.77958206
01-26-27-30-35,0.77958206
16-21-26-27-30,0.77958206
16-21-26-27-35,0.77958206
16-21-26-30-35,0.77958206
16-21-27-30-35,0.77958206
16-26-27-30-35,0.77958206
21-26-27-30-35,0.77958206
02-13-19-20-24,0.7733454
02-13-19-20-26,0.7733454
02-13-19-20-35,0.7733454
02-13-19-24-26,0.7733454
02-13-19-24-35,0.7733454
02-13-19-26-35,0.7733454
02-13-20-24-26,0.7733454
02-13-20-24-35,0.7733454
02-13-20-26-35,0.7733454
02-13-24-26-35,0.7733454
02-19-20-24-26,0.7733454
02-19-20-24-35,0.7733454
02-19-20-26-35,0.7733454
02-19-24-26-35,0.7733454
02-20-24-26-35,0.7733454
13-19-20-24-26,0.7733454
13-19-20-24-35,0.7733454
13-19-20-26-35,0.7733454
13-19-24-26-35,0.7733454
13-20-24-26-35,0.7733454
19-20-24-26-35,0.7733454
02-04-08-10-29,0.76831632
01-08-10-14-25,0.76715864
01-08-10-14-33,0.76715864
01-08-10-14-35,0.76715864
01-08-10-25-33,0.76715864
01-08-10-25-35,0.76715864
01-08-10-33-35,0.76715864
01-08-14-25-33,0.76715864
01-08-14-25-35,0.76715864
01-08-14-33-35,0.76715864
01-08-25-33-35,0.76715864
01-10-14-25-33,0.76715864
01-10-14-25-35,0.76715864
01-10-14-33-35,0.76715864
01-10-25-33-35,0.76715864
01-14-25-33-35,0.76715864
08-10-14-25-33,0.76715864
08-10-14-25-35,0.76715864
08-10-14-33-35,0.76715864
08-10-25-33-35,0.76715864
08-14-25-33-35,0.76715864
10-14-25-33-35,0.76715864
05-13-15-18-35,0.76583691
12-22-23-26-33,0.76102137
12-22-23-26-35,0.76102137
12-22-23-26-37,0.76102137
12-22-23-33-35,0.76102137
12-22-23-33-37,0.76102137
12-22-23-35-37,0.76102137
12-22-26-33-35,0.76102137
12-22-26-33-37,0.76102137
12-22-26-35-37,0.76102137
12-22-33-35-37,0.76102137
12-23-26-33-35,0.76102137
12-23-26-33-37,0.76102137
12-23-26-35-37,0.76102137
12-23-33-35-37,0.76102137
12-26-33-35-37,0.76102137
22-23-26-33-35,0.76102137
22-23-26-33-37,0.76102137
22-23-26-35-37,0.76102137
22-23-33-35-37,0.76102137
22-26-33-35-37,0.76102137
23-26-33-35-37,0.76102137
03-17-19-24-28,0.7549332
03-17-19-24-29,0.7549332
03-17-19-24-35,0.7549332
03-17-19-28-29,0.7549332
03-17-19-29-35,0.7549332
03-17-24-28-29,0.7549332
03-17-24-28-35,0.7549332
03-17-24-29-35,0.7549332
03-17-28-29-35,0.7549332
03-19-24-28-29,0.7549332
03-19-24-28-35,0.7549332
03-19-24-29-35,0.7549332
03-19-28-29-35,0.7549332
03-24-28-29-35,0.7549332
17-19-24-28-29,0.7549332
17-19-24-28-35,0.7549332
17-19-24-29-35,0.7549332
17-19-28-29-35,0.7549332
17-24-28-29-35,0.7549332
19-24-28-29-35,0.7549332
04-05-09-13-17,0.74889374
04-05-09-13-22,0.74889374
04-05-09-13-28,0.74889374
04-05-09-17-22,0.74889374
04-05-09-17-28,0.74889374
04-05-09-22-28,0.74889374
04-05-13-17-22,0.74889374
04-05-13-17-28,0.74889374
04-05-13-22-28,0.74889374
04-05-17-22-28,0.74889374
04-09-13-17-22,0.74889374
04-09-13-17-28,0.74889374
04-09-13-22-28,0.74889374
04-09-17-22-28,0.74889374
04-13-17-22-28,0.74889374
05-09-13-17-22,0.74889374
05-09-13-17-28,0.74889374
05-09-13-22-28,0.74889374
05-09-17-22-28,0.74889374
05-13-17-22-28,0.74889374
09-13-17-22-28,0.74889374
05-12-13-15-18,0.74290259
05-12-13-15-35,0.74290259
05-12-13-15-37,0.74290259
05-12-13-18-35,0.74290259
05-12-13-18-37,0.74290259
05-12-13-35-37,0.74290259
