target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
91,2015-01-09,3,01 03 04 10 23 28 36,01 05 07 14 15 25 35,18 24,1,0,外れ
91,2015-01-09,4,03 04 10 23 24 28 29,01 05 07 14 15 25 35,18 24,0,1,外れ
91,2015-01-09,5,04 10 15 23 24 28 35,01 05 07 14 15 25 35,18 24,2,1,外れ
92,2015-01-16,1,01 03 04 10 23 28 35,04 05 15 25 26 29 32,11 27,1,0,外れ
92,2015-01-16,2,04 08 10 15 23 28 35,04 05 15 25 26 29 32,11 27,2,0,外れ
92,2015-01-16,3,01 04 08 23 28 29 35,04 05 15 25 26 29 32,11 27,2,0,外れ
92,2015-01-16,4,01 04 15 23 24 28 35,04 05 15 25 26 29 32,11 27,2,0,外れ
92,2015-01-16,5,01 04 10 15 23 28 29,04 05 15 25 26 29 32,11 27,3,0,外れ
93,2015-01-23,1,04 10 15 23 28 29 35,02 05 11 14 17 30 32,31 37,0,0,外れ
93,2015-01-23,2,01 04 05 10 23 28 35,02 05 11 14 17 30 32,31 37,1,0,外れ
93,2015-01-23,3,01 04 08 15 23 28 35,02 05 11 14 17 30 32,31 37,0,0,外れ
93,2015-01-23,4,01 04 08 10 23 28 29,02 05 11 14 17 30 32,31 37,0,0,外れ
93,2015-01-23,5,03 04 08 10 23 28 35,02 05 11 14 17 30 32,31 37,0,0,外れ
94,2015-01-30,1,04 05 10 15 23 28 35,13 19 20 27 28 29 30,26 36,1,0,外れ
94,2015-01-30,2,01 04 10 23 28 29 35,13 19 20 27 28 29 30,26 36,2,0,外れ
94,2015-01-30,3,04 08 15 23 28 29 35,13 19 20 27 28 29 30,26 36,2,0,外れ
94,2015-01-30,4,01 04 05 08 23 28 35,13 19 20 27 28 29 30,26 36,1,0,外れ
94,2015-01-30,5,01 04 05 10 23 28 30,13 19 20 27 28 29 30,26 36,2,0,外れ
95,2015-02-06,1,04 10 15 23 28 29 35,01 08 13 14 18 30 34,26 36,0,0,外れ
95,2015-02-06,2,01 04 05 10 23 28 35,01 08 13 14 18 30 34,26 36,1,0,外れ
95,2015-02-06,3,04 05 15 23 28 29 30,01 08 13 14 18 30 34,26 36,1,0,外れ
