generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at
5,g005_elite_0004,11640.973683,240,1200,5,0,0,0,8,27,35,1130,0.31349918353446105,0.16259166724307864,0.5152351214583202,0.008674027764139995,0.06284241686372427,0.11126008870775414,0.1905717839692279,0.0742188544955983,0.024055690355480434,0.3617399905184334,0.6342545389315167,0.359538939951478,0.5264324417502729,5,23,106,163,1,4,8,2026-06-14T16:57:12.171824+00:00
5,g005_0076_3261,8547.185554,240,1200,5,0,0,0,2,33,43,1122,0.2431738363677066,0.1263313476818178,0.6195440934440357,0.010950722506439893,0.023115793196765093,0.0587108175162616,0.178576253177234,0.04896528949722399,0.032472258582612504,0.25000184753375054,0.9253049411223729,0.43575336244979124,0.4890787979541102,5,16,74,170,0,4,8,2026-06-14T16:58:37.690101+00:00
5,g005_0084_7777,10622.559104,240,1200,5,0,0,0,6,30,34,1130,0.28682817239749137,0.31029614564110825,0.3781623933456195,0.02471328861578091,0.06333539791725488,0.15049756998081504,0.1935276780611046,0.07722355635779063,0.03581355570852969,0.10568583134823574,0.278783623676486,0.06973910074415583,0.38675702278450336,5,21,112,168,2,4,8,2026-06-14T17:19:08.457373+00:00
5,g005_0100_1391,10857.373677,240,1200,5,0,0,0,6,32,37,1125,0.4330027509771078,0.13470893798150482,0.37494696891877755,0.05734134212260982,0.07852649034014161,0.15301928645015433,0.2047307819244766,0.0,0.044577828404021295,0.4353281438843819,0.7035584323084345,0.47735003596582365,0.19430529659986628,5,16,84,163,1,4,8,2026-06-14T17:21:21.992089+00:00
5,g005_0108_3836,8262.632183,240,1200,5,0,0,0,2,32,38,1128,0.24489065330146545,0.2624810067699095,0.4816464278662026,0.010981912062422449,0.03268108297243177,0.20858625505923198,0.2183345582589957,0.04944412506127166,0.0263160358181841,0.5939228126207894,0.14872531264138522,0.37291627630016105,0.4773302654460547,6,18,85,163,1,4,8,2026-06-14T17:27:24.330509+00:00
5,g005_0092_7600,9690.078273,240,1200,5,0,0,0,5,29,28,1138,0.3340037667406809,0.009904023651729672,0.10289183967118735,0.5532003699364022,0.1808188800913107,0.23479757532229154,0.0,0.0870178647772285,0.047381255968357176,0.6025011728665025,0.9065120116931402,0.32141953538727586,0.3316526346935754,4,23,74,180,2,4,8,2026-06-14T17:44:56.042830+00:00
5,g005_0060_6837,9209.151743,240,1200,5,0,0,0,4,27,41,1128,0.24879740504549527,0.3471767140940398,0.37935717080812387,0.024668710052341218,0.15101768371439514,0.16778904717186885,0.08971493524755947,0.058079617414707234,0.049191285385571604,0.0,0.3899383997256217,0.38002759256823454,0.3855866010535606,6,24,108,165,0,4,8,2026-06-14T17:48:39.581478+00:00
5,g005_0124_1809,8500.735704,240,1200,5,0,0,0,3,29,32,1136,0.3632510409118406,0.3239982357564123,0.09831440222214712,0.2144363211096,0.1973650964811404,0.19591803458057722,0.08229614910968415,0.08978845068065225,0.00985785282488933,0.22632656128572393,0.05939114083497131,0.476314527674995,0.18399305459499052,5,17,97,179,2,4,8,2026-06-14T17:48:40.037757+00:00
5,g005_0116_3434,10623.591053,240,1200,5,0,0,0,7,22,38,1133,0.10400712661818286,0.4452056782376574,0.11313998823618616,0.3376472069079736,0.1602749193427467,0.17778932607535392,0.0072104572544401035,0.07064684226805082,0.02182209122047391,0.2738032407726884,0.03828439666836065,0.21028899096906545,0.17090250432913706,5,21,76,155,1,4,8,2026-06-14T17:49:26.537504+00:00
5,g005_0148_7472,10139.648121,240,1200,5,0,0,0,6,24,37,1133,0.053049133594984206,0.3124594587010979,0.1263363418899937,0.5081550658139242,0.14706235777689114,0.06737689217997254,0.222276547392417,0.05968154352656917,0.0413620939420798,0.6239961854793766,0.3099516154833485,0.5483127278565785,0.3526205088463188,5,18,87,180,1,4,8,2026-06-14T17:55:30.653560+00:00
