generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at,source_file
2,g002_0092_1316,18701.913386,620,3100,5,0,0,0,5,59,76,2960,0.3195213922770391,0.18939887497185817,0.19067170635556266,0.30040802639554015,0.07713069695512183,0.19252283923303215,0.16411737512925753,0.006209527735735455,0.027565351573358206,0.4020167069044913,0.3795673496905798,0.3739039386346754,0.5983590527531092,5,21,102,185,1,0,4,2026-06-12T00:28:29.757597+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_0036_6682,18699.728884,621,3105,5,0,0,0,6,51,72,2976,0.6429940754111831,0.2977311928170899,0.0095679853709659,0.04970674640076098,0.15399608690462627,0.13865731707790183,0.046776682910476895,0.1131469363257534,0.042019312013877444,0.5057174213888358,0.046334203429375456,0.36113309785650605,0.5640716771428302,5,18,105,185,3,0,4,2026-06-12T21:55:22.050519+00:00,outputs/evolution_history_shard00_of_04.csv
0,g000_0040_1822,18693.445587,620,3100,5,0,0,0,6,49,80,2965,0.33352395832691745,0.1054309384332718,0.47246969808637296,0.08857540515343794,0.17869788410165177,0.13992725760424965,0.09987222698474353,0.0181055017569815,0.013363536769331205,0.11149835164705754,0.16682652237606527,0.33396449089448405,0.3691586532110688,5,14,93,168,1,0,4,2026-06-11T08:54:38.517215+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_0168_8931,18685.881255,621,3105,5,0,0,0,5,59,73,2968,0.2864840439804578,0.2610849340142087,0.19593144641906432,0.2564995755862693,0.19830115746627894,0.16186249657504065,0.0634900518904329,0.04006348693669564,0.03656270798553821,0.600547293981379,0.14221632391237704,0.22096931728055413,0.4216054637315202,4,17,89,173,1,0,4,2026-06-13T00:52:34.926997+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_0056_7976,18682.358267,621,3105,5,0,0,0,6,52,68,2979,0.3585522750346862,0.01273068798225336,0.2939298677563161,0.3347871692267444,0.13450163184363903,0.119241146756254,0.13327865191616345,0.10017048760096744,0.054383079061211245,0.6908898001458086,0.22319437616049087,0.14281786031413457,0.23262319114311336,5,15,101,178,1,0,4,2026-06-12T22:03:42.389811+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0172_8931,18665.881967,620,3100,5,0,0,0,5,59,73,2963,0.2864840439804578,0.2610849340142087,0.19593144641906432,0.2564995755862693,0.19830115746627894,0.16186249657504065,0.0634900518904329,0.04006348693669564,0.03656270798553821,0.600547293981379,0.14221632391237704,0.22096931728055413,0.4216054637315202,4,17,89,173,1,0,4,2026-06-12T02:19:47.404455+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0128_4597,18662.743667,620,3100,5,0,0,0,3,71,83,2943,0.38111903031738553,0.057717517506216974,0.3114366505930466,0.249726801583351,0.06406006001508384,0.06024237681013228,0.03585827550817755,0.0059548391695960715,0.02171027221630971,0.3303140089323816,0.24403379294531857,0.11214705846902091,0.5803648721360218,6,15,81,165,1,0,4,2026-06-12T00:38:33.040701+00:00,outputs/evolution_history_shard00_of_04.csv
1,g001_0115_5709,18653.65993,620,3100,5,0,0,0,4,64,77,2955,0.3460191446605522,0.22945573281671808,0.23241213872866615,0.19211298379406364,0.03577651777751857,0.11318833696568961,0.1469222902235503,0.029418401897896074,0.043849745183624424,0.5366138625963714,0.10341094407006346,0.32214594657497425,0.49860407532848294,6,18,100,175,3,3,4,2026-06-12T00:41:13.899205+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0075_8797,18650.93183,620,3100,5,0,0,0,5,56,78,2961,0.1817299433138541,0.11464047486195043,0.2636211539543768,0.4400084278698187,0.04138684090426944,0.22727878992458977,0.20508435265617447,0.0,0.02418085325616999,0.2616343636518163,0.1156676484665444,0.38317059911071527,0.16636154113335008,4,15,107,157,2,3,4,2026-06-11T23:06:54.235385+00:00,outputs/evolution_history_shard03_of_04.csv
2,g002_0187_3457,18641.254242,620,3100,5,0,0,0,6,47,87,2960,0.28181883125179363,0.2895340225671353,0.24551399655793663,0.18313314962313457,0.21357900428503668,0.192931316635782,0.12624747507344983,0.09254002090629092,0.02550345003484882,0.6364918334593841,0.5685973971198517,0.39122957568854194,0.39907928792613845,6,14,109,182,2,3,4,2026-06-12T07:51:35.434284+00:00,outputs/evolution_history_shard03_of_04.csv
0,g000_0046_1576,18621.650639,620,3100,5,0,0,0,8,35,75,2982,0.2814987699014803,0.15118992323327193,0.4008157123939507,0.16649559447129705,0.1263089903679337,0.1040587758458001,0.15609386268782396,0.09048070799776152,0.013609854266634643,0.4566400677970823,0.32571556711938493,0.39502299068453045,0.22288749575060926,5,22,86,174,2,2,4,2026-06-11T09:56:09.177353+00:00,outputs/evolution_history_shard02_of_04.csv
1,g001_0087_2610,18608.201871,620,3100,5,0,0,0,5,54,86,2955,0.17412384400206998,0.22471965642675354,0.29409731412421364,0.30705918544696287,0.054068906321644995,0.14648661856104467,0.07981490437976209,0.010076085939161716,0.03794571302060856,0.2801659526678717,0.35767080175265487,0.10328579981849965,0.4927940541971042,5,23,101,181,1,3,4,2026-06-12T01:27:54.101204+00:00,outputs/evolution_history_shard03_of_04.csv
3,g003_0084_1949,18605.152541,621,3105,5,0,0,0,5,56,77,2967,0.3256547582021123,0.1691033684783724,0.32553868320253115,0.17970319011698402,0.0453987825522969,0.08495517930306208,0.21959561859547094,0.0711076025013445,0.02972302406160564,0.13800308927530736,0.09422700952714018,0.20588076331550265,0.5737859055831613,5,15,93,178,1,0,4,2026-06-12T22:54:39.445930+00:00,outputs/evolution_history_shard00_of_04.csv
1,g001_0019_1063,18588.219317,620,3100,5,0,0,0,7,43,72,2978,0.044903289311923854,0.20274003614239056,0.6203377309106906,0.13201894363499492,0.15583583875846946,0.11751441221781203,0.10184349227580708,0.07113047501545978,0.02305017108904803,0.2997730242502562,0.6155324817469546,0.4623643417221934,0.14368602644752138,5,20,97,180,2,3,4,2026-06-11T22:11:44.476418+00:00,outputs/evolution_history_shard03_of_04.csv
2,g002_0116_5143,18566.474412,620,3100,5,0,0,0,4,63,82,2951,0.20721819706221012,0.010212410266054602,0.322234679898551,0.4603347127731842,0.10920845135799778,0.0019488530467689467,0.16736808491635818,0.012700686881768682,0.024585872988146507,0.011463141517917247,0.16999309824040815,0.09729050075178246,0.5035022546654646,6,15,101,181,1,0,4,2026-06-12T00:28:35.791278+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0064_6693,18560.392284,620,3100,5,0,0,0,5,55,82,2958,0.4192213895764938,0.05579921082961761,0.13864816225720733,0.3863312373366813,0.10506254060361576,0.06350023451287873,0.1760356594416861,0.004164258606135138,0.07248646363922602,0.3695801225802253,0.22774589554861227,0.14937888785107167,0.49687449773172315,6,21,87,186,1,0,4,2026-06-11T23:56:46.649721+00:00,outputs/evolution_history_shard00_of_04.csv
0,g000_0090_5156,18560.365783,620,3100,5,0,0,0,5,54,86,2955,0.22141990666351574,0.026241657202648577,0.47993897017717524,0.27239946595666054,0.1666381310410276,0.05347105331619445,0.14391943800208015,0.04177334442133988,0.0413003927345181,0.2944700887399937,0.5586783390624479,0.28159851494391924,0.5397711630837988,6,20,92,169,1,2,4,2026-06-11T10:11:41.507093+00:00,outputs/evolution_history_shard02_of_04.csv
2,g002_0199_8721,18542.273268,620,3100,5,0,0,0,5,56,79,2960,0.26508179842604684,0.1362841319210624,0.2443796736460265,0.35425439600686426,0.10685782391150683,0.04213852392459343,0.03354335705827727,0.04547860063768634,0.01087961316686269,0.07740601288918042,0.1754242294083993,0.11202262897159704,0.4061679090174509,5,16,90,188,0,3,4,2026-06-12T08:06:37.175252+00:00,outputs/evolution_history_shard03_of_04.csv
2,g002_0052_8319,18507.262371,620,3100,5,0,0,0,7,41,74,2978,0.3329406198117154,0.13942731889777688,0.12910258935002883,0.39852947194047883,0.15803100894646377,0.17529952800616294,0.024177409281150062,0.04002955737534962,0.030777959023501333,0.5170456097342249,0.42844546531540134,0.3379395497602842,0.21688240160019254,5,17,100,183,2,0,4,2026-06-11T22:41:02.904921+00:00,outputs/evolution_history_shard00_of_04.csv
0,g000_0010_6543,18459.689159,620,3100,5,0,0,0,6,47,77,2970,0.24646262181869202,0.10548998109788178,0.2864869362533525,0.36156046083007376,0.08314279138970483,0.21177907701778192,0.04899709769534669,0.07949989442845092,0.041414564547149445,0.41543799761345757,0.2926494703045035,0.10262536461145971,0.3119118140889817,5,18,83,185,1,2,4,2026-06-11T08:24:18.516822+00:00,outputs/evolution_history_shard02_of_04.csv
1,g001_0066_3934,18443.109468,620,3100,5,0,0,0,4,60,86,2950,0.07641276675422408,0.1468169537633399,0.5131559191132512,0.26361436036918473,0.07907197189984669,0.11703086590592476,0.07098371272633532,0.08942510707607311,0.03379465613959617,0.2812960832940562,0.16789662721239884,0.39830005915775296,0.587936661034917,4,20,97,188,1,2,4,2026-06-12T05:03:11.784482+00:00,outputs/evolution_history_shard02_of_04.csv
