numbers,structural_score,meta_ensemble_score,roi_score,final_score,sum,odd,low,consecutive,range,freq_full,freq_240,freq_120,freq_60,pair_score,bayes_score,zone_1_9,zone_10_18,zone_19_27,zone_28_37,mc_expected_payout,mc_expected_roi,mc_prob_1等,mc_prob_2等,mc_prob_3等,mc_prob_4等,mc_prob_5等,mc_prob_6等,mc_prob_外れ,ensemble_weight_structural
01 09 12 18 22 29 36,109.10966729,109.10966729,-7.43,210.78933459,127.0,3.0,4.0,0.0,35.0,164.3838707,113.33914188,83.74651955,54.93399576,89.85870106,1.50342043,2.0,2.0,1.0,2.0,77.1,-0.743,0.0,0.0,0.0,0.001,0.022,0.025,0.952,1.0
07 08 09 12 22 26 29,109.19108531,109.19108531,-7.62666667,210.75550396,113.0,3.0,4.0,2.0,22.0,163.29145311,112.44049046,83.63575267,55.36053424,89.16299013,1.52001794,3.0,1.0,2.0,1.0,71.2,-0.76266667,0.0,0.0,0.0,0.0,0.019,0.037,0.944,1.0
07 09 12 14 22 29 36,109.17063117,109.17063117,-7.61,210.73126234,129.0,3.0,4.0,0.0,29.0,163.32789208,112.85593732,83.61948403,55.46161076,88.68401973,1.51586857,2.0,2.0,1.0,2.0,71.7,-0.761,0.0,0.0,0.0,0.001,0.019,0.025,0.955,1.0
07 09 12 15 22 29 34,108.83010261,108.83010261,-6.93333333,210.72687188,128.0,4.0,4.0,0.0,27.0,164.52726482,112.10216574,81.79503505,52.16787774,93.24931489,1.53661545,2.0,2.0,1.0,2.0,92.0,-0.69333333,0.0,0.0,0.0,0.002,0.02,0.031,0.947,1.0
07 09 12 13 22 29 34,108.65481997,108.65481997,-6.77333333,210.5363066,126.0,4.0,4.0,1.0,27.0,163.94238831,111.90337499,81.71409142,52.98432932,91.01065356,1.53661545,2.0,2.0,1.0,2.0,96.8,-0.67733333,0.0,0.0,0.0,0.002,0.021,0.034,0.943,1.0
07 09 12 15 22 34 36,108.36456509,108.36456509,-6.24333333,210.48579685,135.0,3.0,4.0,0.0,29.0,162.87289298,111.70609382,82.10723858,53.23114545,90.53870032,1.52001794,2.0,2.0,1.0,2.0,112.7,-0.62433333,0.0,0.0,0.0,0.003,0.024,0.032,0.941,1.0
01 07 08 12 22 29 34,108.0506455,108.0506455,-5.63666667,210.46462434,113.0,3.0,4.0,1.0,33.0,162.63664487,111.60991286,82.25303663,52.87912892,89.09759194,1.51586857,3.0,1.0,1.0,2.0,130.9,-0.56366667,0.0,0.0,0.0,0.005,0.023,0.027,0.945,1.0
08 09 12 15 22 29 34,108.19169511,108.19169511,-5.92333333,210.46005689,129.0,3.0,4.0,1.0,26.0,164.46866811,111.94001166,81.93135084,52.39423282,88.29738668,1.53246608,2.0,2.0,1.0,2.0,122.3,-0.59233333,0.0,0.0,0.0,0.003,0.031,0.029,0.937,1.0
01 09 12 22 29 34 36,108.86166542,108.86166542,-7.27666667,210.44666418,143.0,3.0,3.0,0.0,35.0,164.71933771,113.23960703,83.28571564,53.61702464,89.77121721,1.51171919,2.0,1.0,1.0,3.0,81.7,-0.72766667,0.0,0.0,0.0,0.001,0.019,0.035,0.945,1.0
08 09 12 14 22 29 35,108.49014214,108.49014214,-6.53666667,210.44361762,129.0,3.0,4.0,1.0,27.0,163.18637068,112.53163305,83.72699006,55.73488229,87.15886587,1.4909723,2.0,2.0,1.0,2.0,103.9,-0.65366667,0.0,0.0,0.0,0.003,0.018,0.034,0.945,1.0
07 08 09 12 19 22 29,108.79557036,108.79557036,-7.28333333,210.30780738,106.0,4.0,4.0,2.0,22.0,163.21004836,112.60348904,83.57207525,55.63819785,83.81421454,1.5283167,3.0,1.0,2.0,1.0,81.5,-0.72833333,0.0,0.0,0.0,0.001,0.02,0.033,0.946,1.0
07 09 12 13 22 34 36,108.06413889,108.06413889,-5.85333333,210.27494444,133.0,3.0,4.0,1.0,29.0,162.28801646,111.50730307,82.02629494,54.04759702,87.25717596,1.52001794,2.0,2.0,1.0,2.0,124.4,-0.58533333,0.0,0.0,0.0,0.004,0.023,0.033,0.94,1.0
01 07 09 12 22 28 29,108.14541416,108.14541416,-6.03333333,210.25749499,108.0,4.0,4.0,1.0,28.0,161.46244781,111.95146937,83.13948551,54.83097174,90.2999812,1.47852417,3.0,1.0,1.0,2.0,119.0,-0.60333333,0.0,0.0,0.0,0.004,0.015,0.042,0.939,1.0
01 09 12 18 22 26 29,108.53970566,108.53970566,-6.98,210.09941132,117.0,3.0,4.0,0.0,28.0,163.59078181,112.12814083,82.70940402,54.05813216,92.63549553,1.49512168,2.0,2.0,2.0,1.0,90.6,-0.698,0.0,0.0,0.0,0.002,0.017,0.035,0.946,1.0
09 12 15 18 22 29 34,107.81076897,107.81076897,-5.53666667,210.08487128,139.0,3.0,4.0,0.0,25.0,164.86378803,111.61776821,80.81719786,51.01965603,91.098019,1.5283167,1.0,3.0,1.0,2.0,133.9,-0.55366667,0.0,0.0,0.0,0.005,0.023,0.03,0.942,1.0
07 09 12 18 22 26 29,108.7280904,108.7280904,-7.39,210.0661808,123.0,3.0,4.0,0.0,22.0,163.68657303,112.11824701,82.52159969,53.98595745,91.27971603,1.51586857,2.0,2.0,2.0,1.0,78.3,-0.739,0.0,0.0,0.0,0.001,0.021,0.028,0.95,1.0
07 09 12 13 22 26 29,108.27235356,108.27235356,-6.48666667,210.05804045,118.0,4.0,4.0,1.0,22.0,161.69254695,110.65858514,81.60155276,54.3148176,91.89153542,1.51586857,2.0,2.0,2.0,1.0,105.4,-0.64866667,0.0,0.0,0.0,0.002,0.028,0.03,0.94,1.0
08 09 12 18 22 29 31,108.36763596,108.36763596,-6.72,210.01527192,129.0,3.0,4.0,1.0,23.0,162.61166338,111.39172365,82.48916211,54.13020822,91.69136848,1.50342043,2.0,2.0,1.0,2.0,98.4,-0.672,0.0,0.0,0.0,0.002,0.028,0.023,0.947,1.0
08 09 12 17 22 29 34,108.50463535,108.50463535,-7.02666667,209.98260403,131.0,3.0,4.0,1.0,26.0,164.90177411,112.93760344,83.00221169,54.6598378,84.20306321,1.52416732,2.0,2.0,1.0,2.0,89.2,-0.70266667,0.0,0.0,0.0,0.0,0.029,0.037,0.934,1.0
07 09 12 18 19 22 29,108.25916027,108.25916027,-6.57,209.94832054,116.0,4.0,4.0,1.0,22.0,163.60516828,112.28124559,82.45792227,54.26362106,85.31914731,1.52416732,2.0,2.0,2.0,1.0,102.9,-0.657,0.0,0.0,0.0,0.003,0.023,0.024,0.95,1.0
