created_at,iteration,genome_id,roi_percent,profit,high_grade_hit_count,max_main_match,best_roi_percent,best_profit
2026-06-23T12:31:27.618085+00:00,81,g081_0081_1559,20.643,-740400,6,5,61.522,-359000
2026-06-23T12:33:10.700826+00:00,82,g082_0082_2846,60.997,-363900,5,6,61.522,-359000
2026-06-23T12:38:11.292976+00:00,83,g083_0083_2067,19.968,-746700,5,5,61.522,-359000
2026-06-23T12:41:10.153376+00:00,84,g084_0084_7225,20.289,-743700,5,5,61.522,-359000
2026-06-23T12:46:10.287556+00:00,85,g085_0085_8038,19.389,-752100,5,5,61.522,-359000
2026-06-23T12:54:15.811016+00:00,86,g086_0086_9268,18.725,-758300,4,5,61.522,-359000
2026-06-23T13:02:21.186397+00:00,87,g087_0087_8266,18.971,-756000,3,5,61.522,-359000
2026-06-23T13:07:20.616746+00:00,88,g088_0088_7231,19.25,-753400,2,5,61.522,-359000
2026-06-23T13:09:03.519434+00:00,89,g089_0089_6983,19.228,-753600,3,5,61.522,-359000
2026-06-23T13:17:10.340204+00:00,90,g090_0090_8030,21.811,-729500,6,5,61.522,-359000
2026-06-23T13:18:53.442772+00:00,91,g091_0091_4061,22.176,-726100,5,5,61.522,-359000
2026-06-23T13:20:36.608645+00:00,92,g092_0092_4127,60.461,-368900,6,6,61.522,-359000
2026-06-23T13:25:36.458222+00:00,93,g093_0093_6036,20.525,-741500,6,5,61.522,-359000
2026-06-23T13:28:35.092483+00:00,94,g094_0094_4126,58.446,-387700,4,6,61.522,-359000
2026-06-23T13:31:33.962170+00:00,95,g095_0095_8013,60.032,-372900,5,6,61.522,-359000
2026-06-23T13:44:16.694738+00:00,96,g096_0096_1710,22.304,-724900,6,5,61.522,-359000
2026-06-23T13:49:16.428146+00:00,97,g097_0097_2154,19.775,-748500,3,5,61.522,-359000
2026-06-23T13:54:15.912891+00:00,98,g098_0098_3562,21.886,-728800,6,5,61.522,-359000
2026-06-23T13:57:14.716028+00:00,99,g099_0099_4034,21.436,-733000,7,5,61.522,-359000
2026-06-23T14:00:13.586326+00:00,100,g100_0100_3171,20.086,-745600,5,5,61.522,-359000
2026-06-23T21:11:41.022396+00:00,1,g001_0001_8747,20.579,-741000,5,5,61.458,-359600
2026-06-23T21:24:24.878675+00:00,2,g002_0002_4549,20.397,-742700,4,5,61.458,-359600
2026-06-23T21:37:12.520161+00:00,3,g003_0003_5073,21.19,-735300,7,5,61.458,-359600
2026-06-23T21:49:58.731811+00:00,4,g004_0004_4404,22.272,-725200,6,5,61.458,-359600
2026-06-23T21:52:57.789402+00:00,5,g005_0005_4813,61.972,-354800,7,6,61.972,-354800
2026-06-23T22:05:43.827277+00:00,6,g006_0006_7357,21.104,-736100,5,5,61.972,-354800
2026-06-23T22:07:27.098658+00:00,7,g007_0007_6775,62.283,-351900,6,6,62.283,-351900
2026-06-23T22:10:26.252811+00:00,8,g008_0008_5166,21.115,-736000,6,5,62.283,-351900
2026-06-23T22:11:23.619945+00:00,9,g009_0009_8556,21.072,-736400,4,5,62.283,-351900
2026-06-23T22:19:29.337882+00:00,10,g010_0010_8101,21.929,-728400,7,5,62.283,-351900
2026-06-23T22:20:26.338214+00:00,11,g011_0011_3907,24.652,-703000,10,5,62.283,-351900
2026-06-23T22:21:23.464335+00:00,12,g012_0012_4097,19.496,-751100,3,5,62.283,-351900
2026-06-23T22:29:29.619940+00:00,13,g013_0013_2319,24.019,-708900,9,5,62.283,-351900
2026-06-23T22:30:26.937686+00:00,14,g014_0014_6111,21.961,-728100,6,5,62.283,-351900
