created_at,iteration,genome_id,objective_score,roi_percent,profit,grade_hit_count,high_grade_hit_count,max_main_match,rank_3,rank_4,rank_5,rank_6,best_objective_score,best_roi_percent,best_profit
2026-07-07T00:36:23.374721+00:00,181,g181_0181_2028,12993.03,15.144,-426400,60,2,5,0,2,21,37,31746.34,89.91,-50700
2026-07-07T00:36:57.294860+00:00,182,g182_0182_3536,8112.41,12.577,-439300,58,0,4,0,0,24,34,31746.34,89.91,-50700
2026-07-07T00:38:41.634767+00:00,183,g183_0183_7039,10489.74,13.313,-435600,58,1,5,0,1,21,36,31746.34,89.91,-50700
2026-07-07T00:49:59.236626+00:00,184,g184_0184_5022,14328.46,15.682,-423700,56,3,5,0,3,15,38,31746.34,89.91,-50700
2026-07-07T00:57:25.866743+00:00,185,g185_0185_1006,15463.76,17.075,-416700,61,3,5,0,3,21,37,31746.34,89.91,-50700
2026-07-07T01:08:45.395608+00:00,186,g186_0186_8245,11785.05,12.498,-439700,50,2,5,0,2,17,31,31746.34,89.91,-50700
2026-07-07T01:08:55.809579+00:00,187,g187_0187_8521,12444.52,14.368,-430300,58,2,5,0,2,18,38,31746.34,89.91,-50700
2026-07-07T01:09:14.329354+00:00,188,g188_0188_3436,7633.8,12.0,-442200,57,0,4,0,0,21,36,31746.34,89.91,-50700
2026-07-07T01:10:14.362099+00:00,189,g189_0189_3069,6967.67,10.866,-447900,53,0,4,0,0,18,35,31746.34,89.91,-50700
2026-07-07T01:13:07.331893+00:00,190,g190_0190_9947,11975.0,13.592,-434200,55,2,5,0,2,16,37,31746.34,89.91,-50700
2026-07-07T01:16:02.170706+00:00,191,g191_0191_9966,13010.6,14.607,-429100,53,2,5,0,2,24,27,31746.34,89.91,-50700
2026-07-07T01:20:42.293360+00:00,192,g192_0192_3686,10093.13,12.736,-438500,56,1,5,0,1,19,36,31746.34,89.91,-50700
